,date,DR. NO,DATE OCC,TIME OCC,AREA,AREA NAME,RD,Crm Cd,crime_desc,Status,Status Desc,LOCATION,Cross Street,lonlat,rape,lon,lat
529,2015-11-30,150126625,11/30/2015 12:00:00 AM,1240,1,Central,135,121,"RAPE, FORCIBLE",IC,Invest Cont,  100 E  3RD                          ST,,"34.0496, -118.2458",1,34.0496, -118.2458
1096,2015-11-29,150801521,11/29/2015 12:00:00 AM,600,8,West LA,832,122,"RAPE, ATTEMPTED",IC,Invest Cont,         MAYFIELD,   GRANVILLE,"34.0505, -118.4650",1,34.0505, -118.4650
1264,2015-11-29,151522468,11/29/2015 12:00:00 AM,1000,15,N Hollywood,1599,121,"RAPE, FORCIBLE",IC,Invest Cont, 3500    MULTIVIEW                    DR,,"34.1275, -118.3603",1,34.1275, -118.3603
1339,2015-11-30,151821217,11/29/2015 12:00:00 AM,830,18,Southeast,1861,121,"RAPE, FORCIBLE",IC,Invest Cont,  700 W  IMPERIAL                     HY,,"33.9310, -118.2870",1,33.9310, -118.2870
1424,2015-11-29,150126529,11/28/2015 12:00:00 AM,2245,1,Central,142,121,"RAPE, FORCIBLE",IC,Invest Cont,  400 S  FIGUEROA                     ST,,"34.0535, -118.2560",1,34.0535, -118.2560
1482,2015-11-30,150325538,11/28/2015 12:00:00 AM,2000,3,Southwest,317,121,"RAPE, FORCIBLE",IC,Invest Cont, 1400 W  25TH                         ST,,"34.0337, -118.2915",1,34.0337, -118.2915
1534,2015-11-28,150625077,11/28/2015 12:00:00 AM,45,6,Hollywood,632,122,"RAPE, ATTEMPTED",IC,Invest Cont, 8100 W  SUNSET                       BL,,"34.0980, -118.3652",1,34.0980, -118.3652
1641,2015-12-01,151120504,11/28/2015 12:00:00 AM,2230,11,Northeast,1145,122,"RAPE, ATTEMPTED",IC,Invest Cont, 1900    RIVERSIDE                    DR,,"34.0974, -118.2468",1,34.0974, -118.2468
1812,2015-11-29,151821165,11/28/2015 12:00:00 AM,2300,18,Southeast,1827,121,"RAPE, FORCIBLE",IC,Invest Cont, 9900    ANZAC                        AV,,"33.9465, -118.2379",1,33.9465, -118.2379
1863,2015-11-29,152019784,11/28/2015 12:00:00 AM,100,20,Olympic,2001,121,"RAPE, FORCIBLE",IC,Invest Cont,         WILSHIRE                     BL,   VERMONT                      AV,"34.0618, -118.2916",1,34.0618, -118.2916
1890,2015-11-29,152119441,11/28/2015 12:00:00 AM,2350,21,Topanga,2143,121,"RAPE, FORCIBLE",IC,Invest Cont, 6800    FALLBROOK                    AV,,"34.1971, -118.6234",1,34.1971, -118.6234
2208,2015-11-27,151522387,11/27/2015 12:00:00 AM,900,15,N Hollywood,1527,121,"RAPE, FORCIBLE",IC,Invest Cont,11100    VICTORY                      BL,,"34.1867, -118.3728",1,34.1867, -118.3728
2907,2015-11-25,150920280,11/25/2015 12:00:00 AM,1430,9,Van Nuys,943,121,"RAPE, FORCIBLE",IC,Invest Cont, 5400    SYLMAR                       AV,,"34.1688, -118.4466",1,34.1688, -118.4466
2911,2015-11-26,150920289,11/25/2015 12:00:00 AM,1330,9,Van Nuys,926,121,"RAPE, FORCIBLE",IC,Invest Cont,         VICTORY                      BL,   TYRONE,"34.1867, -118.4444",1,34.1867, -118.4444
2950,2015-11-25,151100961,11/25/2015 12:00:00 AM,200,11,Northeast,1139,121,"RAPE, FORCIBLE",IC,Invest Cont, 5900    ARROYO                       DR,,"34.1065, -118.1878",1,34.1065, -118.1878
3029,2015-11-27,151429362,11/25/2015 12:00:00 AM,2200,14,Pacific,1444,121,"RAPE, FORCIBLE",IC,Invest Cont, 2700    ABBOT KINNEY                 BL,,"33.9884, -118.4540",1,33.9884, -118.4540
3365,2015-11-25,150624886,11/24/2015 12:00:00 AM,1830,6,Hollywood,632,121,"RAPE, FORCIBLE",IC,Invest Cont, 1500    QUEENS                       RD,,"34.0977, -118.3763",1,34.0977, -118.3763
3736,2015-11-23,150126173,11/23/2015 12:00:00 AM,2330,1,Central,165,121,"RAPE, FORCIBLE",IC,Invest Cont,  200 E  6TH                          ST,,"34.0446, -118.2490",1,34.0446, -118.2490
3817,2015-11-26,150501252,11/23/2015 12:00:00 AM,1800,5,Harbor,515,121,"RAPE, FORCIBLE",IC,Invest Cont, 1700    WILMINGTON                   BL,,"33.7969, -118.2752",1,33.7969, -118.2752
3928,2015-11-25,150920249,11/23/2015 12:00:00 AM,600,9,Van Nuys,938,122,"RAPE, ATTEMPTED",IC,Invest Cont,13500    VICTORY                      BL,,"34.1867, -118.4268",1,34.1867, -118.4268
4204,2015-10-29,151119056,10/11/2015 12:00:00 AM,800,11,Northeast,1105,121,"RAPE, FORCIBLE",IC,Invest Cont, 2800 W  BROADWAY,,"34.1437, -118.2257",1,34.1437, -118.2257
4397,2015-11-22,150601267,11/22/2015 12:00:00 AM,200,6,Hollywood,636,121,"RAPE, FORCIBLE",IC,Invest Cont, 1700 N  MC CADDEN                    PL,,"34.1016, -118.3374",1,34.1016, -118.3374
5257,2015-11-23,151901096,11/21/2015 12:00:00 AM,2330,19,Mission,1964,121,"RAPE, FORCIBLE",IC,Invest Cont, 9100    TOBIAS                       AV,,"34.2354, -118.4517",1,34.2354, -118.4517
5289,2015-11-22,152000778,11/21/2015 12:00:00 AM,25,20,Olympic,2034,121,"RAPE, FORCIBLE",IC,Invest Cont,  700 S  HARVARD                      BL,,"34.0597, -118.3042",1,34.0597, -118.3042
5362,2015-11-22,150126057,11/20/2015 12:00:00 AM,2300,1,Central,162,121,"RAPE, FORCIBLE",IC,Invest Cont,         7TH,   HOPE,"34.0480, -118.2577",1,34.0480, -118.2577
6481,2015-11-19,150301182,11/18/2015 12:00:00 AM,1700,3,Southwest,395,121,"RAPE, FORCIBLE",IC,Invest Cont, 4000    LA SALLE                     AV,,"34.0109, -118.3057",1,34.0109, -118.3057
6598,2015-11-18,150717333,11/18/2015 12:00:00 AM,900,7,Wilshire,764,121,"RAPE, FORCIBLE",IC,Invest Cont, 1400 S  CLOVERDALE                   AV,,"34.0482, -118.3516",1,34.0482, -118.3516
6846,2015-11-19,151719266,11/18/2015 12:00:00 AM,2245,17,Devonshire,1755,121,"RAPE, FORCIBLE",IC,Invest Cont,         LINDLEY                      AV,   DEVONSHIRE                   ST,"34.2573, -118.5273",1,34.2573, -118.5273
6907,2015-11-18,152019254,11/18/2015 12:00:00 AM,600,20,Olympic,2091,121,"RAPE, FORCIBLE",IC,Invest Cont, 2300 W  20TH                         ST,,"34.0390, -118.3148",1,34.0390, -118.3148
6939,2015-11-19,152118970,11/18/2015 12:00:00 AM,1900,21,Topanga,2148,122,"RAPE, ATTEMPTED",IC,Invest Cont, 7000    DELCO                        AV,,"34.1974, -118.5786",1,34.1974, -118.5786
6940,2015-11-19,152118987,11/18/2015 12:00:00 AM,1730,21,Topanga,2102,121,"RAPE, FORCIBLE",IC,Invest Cont, 8700    CHATLAKE                     DR,,"34.2282, -118.6466",1,34.2282, -118.6466
7205,2015-11-17,151225875,11/17/2015 12:00:00 AM,930,12,77th Street,1239,122,"RAPE, ATTEMPTED",AO,Adult Other,  600 W  62ND                         ST,,"33.9833, -118.2841",1,33.9833, -118.2841
7481,2015-11-16,150201139,11/16/2015 12:00:00 AM,550,2,Rampart,247,122,"RAPE, ATTEMPTED",AO,Adult Other,  500 S  BONNIE BRAE                  ST,,"34.0593, -118.2719",1,34.0593, -118.2719
7509,2015-11-16,150324757,11/16/2015 12:00:00 AM,1255,3,Southwest,393,122,"RAPE, ATTEMPTED",IC,Invest Cont, 4100    LEIMERT                      BL,,"0, 0",1,0, 0
7642,2015-11-16,150817611,11/16/2015 12:00:00 AM,800,8,West LA,853,121,"RAPE, FORCIBLE",IC,Invest Cont, 1600    BUTLER                       AV,,"34.0456, -118.4519",1,34.0456, -118.4519
7840,2015-11-17,151521853,11/16/2015 12:00:00 AM,1200,15,N Hollywood,1586,121,"RAPE, FORCIBLE",IC,Invest Cont,         LANKERSHIM                   BL,   CAHUENGA                     BL,"34.1433, -118.3616",1,34.1433, -118.3616
7862,2015-11-16,151616074,11/16/2015 12:00:00 AM,1500,16,Foothill,1641,121,"RAPE, FORCIBLE",AO,Adult Other,13700    HOYT                         ST,,"34.2580, -118.4313",1,34.2580, -118.4313
8589,2015-11-15,150201136,11/14/2015 12:00:00 AM,400,2,Rampart,269,121,"RAPE, FORCIBLE",IC,Invest Cont, 1200 W  7TH                          ST,,"34.0515, -118.2658",1,34.0515, -118.2658
8742,2015-11-14,150817495,11/14/2015 12:00:00 AM,455,8,West LA,837,121,"RAPE, FORCIBLE",IC,Invest Cont,  500    LANDFAIR                     AV,,"34.0686, -118.4511",1,34.0686, -118.4511
8905,2015-11-21,151429001,11/14/2015 12:00:00 AM,1200,14,Pacific,1414,121,"RAPE, FORCIBLE",IC,Invest Cont,  400    7TH                          AV,,"33.9996, -118.4690",1,33.9996, -118.4690
8983,2015-11-19,151719278,11/14/2015 12:00:00 AM,100,17,Devonshire,1792,121,"RAPE, FORCIBLE",IC,Invest Cont, 8300    PENFIELD                     AV,,"34.2203, -118.5689",1,34.2203, -118.5689
9113,2015-11-13,150125335,11/13/2015 12:00:00 AM,1930,1,Central,157,122,"RAPE, ATTEMPTED",IC,Invest Cont,         7TH                          ST,   CROCKER,"34.0396, -118.2451",1,34.0396, -118.2451
9306,2015-11-16,150817609,11/13/2015 12:00:00 AM,2130,8,West LA,835,122,"RAPE, ATTEMPTED",IC,Invest Cont, 1900    WESTWOOD                     BL,,"34.0482, -118.4354",1,34.0482, -118.4354
9310,2015-12-01,150818131,11/13/2015 12:00:00 AM,200,8,West LA,841,121,"RAPE, FORCIBLE",IC,Invest Cont, 1200    BROCKTON                     AV,,"34.0460, -118.4652",1,34.0460, -118.4652
9336,2015-11-13,151001115,11/13/2015 12:00:00 AM,500,10,West Valley,1097,121,"RAPE, FORCIBLE",AA,Adult Arrest,17200    ESCALON                      DR,,"34.1328, -118.5043",1,34.1328, -118.5043
9360,2015-11-17,151017644,11/13/2015 12:00:00 AM,1545,10,West Valley,1041,122,"RAPE, ATTEMPTED",IC,Invest Cont, 5900    MELVIN                       AV,,"34.1776, -118.5600",1,34.1776, -118.5600
9398,2015-11-13,151225630,11/13/2015 12:00:00 AM,2320,12,77th Street,1211,121,"RAPE, FORCIBLE",IC,Invest Cont, 5400 S  VICTORIA                     AV,,"33.9931, -118.3322",1,33.9931, -118.3322
9872,2015-11-17,151017642,11/12/2015 12:00:00 AM,100,10,West Valley,1063,121,"RAPE, FORCIBLE",IC,Invest Cont,         RESEDA,   BURBANK,"34.1729, -118.5360",1,34.1729, -118.5360
10236,2015-11-11,150324426,11/11/2015 12:00:00 AM,330,3,Southwest,395,121,"RAPE, FORCIBLE",IC,Invest Cont, 4100 S  WESTERN                      AV,,"34.0099, -118.3089",1,34.0099, -118.3089
10847,2015-11-15,150919829,11/10/2015 12:00:00 AM,1100,9,Van Nuys,914,121,"RAPE, FORCIBLE",IC,Invest Cont,14700    BASSETT                      ST,,"34.1958, -118.4531",1,34.1958, -118.4531
11336,2015-11-09,151017298,11/09/2015 12:00:00 AM,1300,10,West Valley,1006,122,"RAPE, ATTEMPTED",IC,Invest Cont, 7800    ANDASOL                      AV,,"34.2121, -118.5118",1,34.2121, -118.5118
11484,2015-11-09,151601341,11/09/2015 12:00:00 AM,1,16,Foothill,1656,121,"RAPE, FORCIBLE",IC,Invest Cont,10100    WOODWARD                     AV,,"34.2524, -118.3071",1,34.2524, -118.3071
11495,2015-11-11,151615915,11/09/2015 12:00:00 AM,100,16,Foothill,1684,121,"RAPE, FORCIBLE",IC,Invest Cont,         LAUREL CANYON,   KESWICK,"34.2103, -118.3965",1,34.2103, -118.3965
11557,2015-11-19,151820696,11/09/2015 12:00:00 AM,540,18,Southeast,1801,121,"RAPE, FORCIBLE",IC,Invest Cont,  500 W  87TH                         ST,,"33.9587, -118.2827",1,33.9587, -118.2827
11634,2015-11-08,150124889,11/08/2015 12:00:00 AM,5,1,Central,145,121,"RAPE, FORCIBLE",IC,Invest Cont,  400 S  MAIN                         ST,,"34.0482, -118.2472",1,34.0482, -118.2472
11646,2015-11-10,150125091,11/08/2015 12:00:00 AM,300,1,Central,192,121,"RAPE, FORCIBLE",IC,Invest Cont, 1400 S  FIGUEROA                     ST,,"34.0393, -118.2689",1,34.0393, -118.2689
11705,2015-11-08,150401350,11/08/2015 12:00:00 AM,100,4,Hollenbeck,455,121,"RAPE, FORCIBLE",IC,Invest Cont,         SHERIDAN                     ST,   BREED                        ST,"34.0504, -118.2068",1,34.0504, -118.2068
11757,2015-11-08,150623723,11/08/2015 12:00:00 AM,2300,6,Hollywood,648,121,"RAPE, FORCIBLE",IC,Invest Cont,         WILTON                       PL,   CARLTON                      WY,"34.1005, -118.3136",1,34.1005, -118.3136
12031,2015-11-12,151718945,11/08/2015 12:00:00 AM,200,17,Devonshire,1799,121,"RAPE, FORCIBLE",IC,Invest Cont,15700    ROSCOE                       BL,,"34.2214, -118.4746",1,34.2214, -118.4746
12156,2015-11-28,150126494,11/07/2015 12:00:00 AM,300,1,Central,111,121,"RAPE, FORCIBLE",IC,Invest Cont,  500 N  FIGUEROA                     ST,,"34.0617, -118.2469",1,34.0617, -118.2469
12224,2015-11-20,150324989,11/07/2015 12:00:00 AM,1,3,Southwest,328,121,"RAPE, FORCIBLE",IC,Invest Cont, 3300 S  FIGUEROA                     ST,,"34.0225, -118.2796",1,34.0225, -118.2796
12499,2015-11-08,151521288,11/07/2015 12:00:00 AM,2100,15,N Hollywood,1505,121,"RAPE, FORCIBLE",IC,Invest Cont,11600    SHERMAN                      WY,,"34.2012, -118.3845",1,34.2012, -118.3845
12721,2015-11-06,150324086,11/06/2015 12:00:00 AM,1300,3,Southwest,316,121,"RAPE, FORCIBLE",IC,Invest Cont, 1800 W  24TH                         ST,,"34.0346, -118.3030",1,34.0346, -118.3030
12773,2015-11-07,150416730,11/06/2015 12:00:00 AM,1930,4,Hollenbeck,479,121,"RAPE, FORCIBLE",AO,Adult Other, 3500    ATLANTIC                     ST,,"34.0236, -118.2005",1,34.0236, -118.2005
12841,2015-11-09,150717003,11/06/2015 12:00:00 AM,2330,7,Wilshire,705,121,"RAPE, FORCIBLE",IC,Invest Cont,         CLINTON,   LA BREA,"34.0819, -118.3441",1,34.0819, -118.3441
13115,2015-11-09,151820238,11/06/2015 12:00:00 AM,1800,18,Southeast,1832,121,"RAPE, FORCIBLE",IC,Invest Cont,10400 S  BROADWAY,,"33.9419, -118.2781",1,33.9419, -118.2781
13154,2015-11-18,151921981,11/06/2015 12:00:00 AM,200,19,Mission,1954,121,"RAPE, FORCIBLE",IC,Invest Cont,10000    HALBRENT                     AV,,"34.2526, -118.4662",1,34.2526, -118.4662
13290,2015-11-08,150324190,11/05/2015 12:00:00 AM,2200,3,Southwest,338,121,"RAPE, FORCIBLE",IC,Invest Cont,      S  VERMONT                      AV,W  29TH                         ST,"34.0284, -118.2915",1,34.0284, -118.2915
13334,2015-11-06,150517742,11/05/2015 12:00:00 AM,1800,5,Harbor,585,121,"RAPE, FORCIBLE",IC,Invest Cont, 1000 W  25TH                         ST,,"33.7216, -118.2990",1,33.7216, -118.2990
13720,2015-11-04,150201110,11/04/2015 12:00:00 AM,110,2,Rampart,265,121,"RAPE, FORCIBLE",IC,Invest Cont,  800 S  WESTLAKE                     AV,,"34.0544, -118.2767",1,34.0544, -118.2767
13721,2015-11-04,150201111,11/04/2015 12:00:00 AM,330,2,Rampart,216,122,"RAPE, ATTEMPTED",AO,Adult Other, 2100    CLINTON                      ST,,"34.0737, -118.2659",1,34.0737, -118.2659
13887,2015-11-06,150919382,11/04/2015 12:00:00 AM,1,9,Van Nuys,941,121,"RAPE, FORCIBLE",IC,Invest Cont, 5600    SEPULVEDA                    BL,,"34.1721, -118.4662",1,34.1721, -118.4662
13964,2015-11-05,151319946,11/04/2015 12:00:00 AM,300,13,Newton,1317,121,"RAPE, FORCIBLE",IC,Invest Cont,         14TH                         ST,   LONG BEACH                   AV,"34.0258, -118.2402",1,34.0258, -118.2402
13981,2015-11-05,151320800,11/04/2015 12:00:00 AM,300,13,Newton,1317,121,"RAPE, FORCIBLE",IC,Invest Cont,         14TH                         ST,   LONG BEACH                   AV,"34.0258, -118.2402",1,34.0258, -118.2402
14780,2015-11-08,150124930,11/02/2015 12:00:00 AM,1,1,Central,157,121,"RAPE, FORCIBLE",IC,Invest Cont,         5TH                          ST,   SAN PEDRO,"34.0435, -118.2427",1,34.0435, -118.2427
16055,2015-11-12,151820430,11/01/2015 12:00:00 AM,2300,18,Southeast,1824,121,"RAPE, FORCIBLE",IC,Invest Cont,  900 E  103RD                        PL,,"33.9426, -118.2594",1,33.9426, -118.2594
16148,2015-11-04,152118255,11/01/2015 12:00:00 AM,200,21,Topanga,2157,121,"RAPE, FORCIBLE",IC,Invest Cont,21200    KITTRIDGE                    ST,,"34.1912, -118.5941",1,34.1912, -118.5941
16149,2015-11-02,152118458,11/01/2015 12:00:00 AM,200,21,Topanga,2134,121,"RAPE, FORCIBLE",IC,Invest Cont, 7300    SHOUP                        AV,,"34.2029, -118.6147",1,34.2029, -118.6147
16243,2015-10-31,150301164,10/31/2015 12:00:00 AM,100,3,Southwest,338,121,"RAPE, FORCIBLE",IC,Invest Cont, 3100    ORCHARD                      AV,,"34.0265, -118.2882",1,34.0265, -118.2882
16493,2015-11-18,150817669,10/31/2015 12:00:00 AM,5,8,West LA,813,121,"RAPE, FORCIBLE",IC,Invest Cont, 1100 N  BUNDY                        DR,,"34.0795, -118.4821",1,34.0795, -118.4821
16711,2015-10-31,151427812,10/31/2015 12:00:00 AM,30,14,Pacific,1474,121,"RAPE, FORCIBLE",IC,Invest Cont,         LOYOLA                       BL,   83RD                         ST,"33.9633, -118.4167",1,33.9633, -118.4167
16823,2015-10-31,151700886,10/31/2015 12:00:00 AM,200,17,Devonshire,1787,121,"RAPE, FORCIBLE",IC,Invest Cont, 9800    ZELZAH                       AV,,"34.2486, -118.5233",1,34.2486, -118.5233
17058,2015-10-30,150220318,10/30/2015 12:00:00 AM,430,2,Rampart,211,122,"RAPE, ATTEMPTED",IC,Invest Cont,         WILLOWBROOK,   MADISON,"0.0000, 0.0000",1,0.0000, 0.0000
17272,2015-10-30,150816910,10/30/2015 12:00:00 AM,100,8,West LA,837,121,"RAPE, FORCIBLE",IC,Invest Cont,         STRATHMORE                   DR,   LANDFAIR                     AV,"34.0673, -118.4497",1,34.0673, -118.4497
17341,2015-10-30,151016889,10/30/2015 12:00:00 AM,400,10,West Valley,1044,121,"RAPE, FORCIBLE",IC,Invest Cont,18300    BURBANK                      BL,,"34.1724, -118.5308",1,34.1724, -118.5308
17346,2015-10-30,151016896,10/30/2015 12:00:00 AM,1200,10,West Valley,1004,121,"RAPE, FORCIBLE",IC,Invest Cont,18300    KESWICK                      ST,,"34.2102, -118.5317",1,34.2102, -118.5317
18476,2015-12-01,150221806,10/28/2015 12:00:00 AM,1600,2,Rampart,248,121,"RAPE, FORCIBLE",IC,Invest Cont,         6TH,   WITMER,"34.0555, -118.2656",1,34.0555, -118.2656
18766,2015-10-28,151224563,10/28/2015 12:00:00 AM,1900,12,77th Street,1239,121,"RAPE, FORCIBLE",IC,Invest Cont,         VERMONT                      AV,   50TH                         ST,"33.9979, -118.2915",1,33.9979, -118.2915
19074,2015-10-29,152018318,10/28/2015 12:00:00 AM,2330,20,Olympic,2056,122,"RAPE, ATTEMPTED",IC,Invest Cont, 1000 S  NEW HAMPSHIRE                AV,,"34.0527, -118.2927",1,34.0527, -118.2927
19357,2015-10-28,150716486,10/27/2015 12:00:00 AM,1500,7,Wilshire,767,122,"RAPE, ATTEMPTED",IC,Invest Cont, 1400 S  BRONSON                      AV,,"34.0466, -118.3261",1,34.0466, -118.3261
19522,2015-10-28,151224488,10/27/2015 12:00:00 AM,1200,12,77th Street,1267,121,"RAPE, FORCIBLE",IC,Invest Cont,         FIGUEROA                     ST,   83RD                         ST,"33.9642, -118.2827",1,33.9642, -118.2827
19601,2015-10-29,151427540,10/27/2015 12:00:00 AM,130,14,Pacific,1497,121,"RAPE, FORCIBLE",IC,Invest Cont, 5400 W  CENTURY                      BL,,"33.9454, -118.3750",1,33.9454, -118.3750
19644,2015-11-11,151521425,10/27/2015 12:00:00 AM,400,15,N Hollywood,1516,121,"RAPE, FORCIBLE",IC,Invest Cont, 6600    CAMELLIA                     AV,,"34.1903, -118.3823",1,34.1903, -118.3823
20272,2015-10-26,151427328,10/26/2015 12:00:00 AM,500,14,Pacific,1414,121,"RAPE, FORCIBLE",IC,Invest Cont,         BROADWAY                     AV,   6TH                          ST,"33.9947, -118.4683",1,33.9947, -118.4683
20296,2015-10-28,151427470,10/26/2015 12:00:00 AM,1500,14,Pacific,1467,121,"RAPE, FORCIBLE",AO,Adult Other, 5900 W  76TH                         ST,,"33.9722, -118.3861",1,33.9722, -118.3861
20548,2015-10-25,150220006,10/25/2015 12:00:00 AM,400,2,Rampart,249,121,"RAPE, FORCIBLE",IC,Invest Cont, 1100    WILSHIRE                     BL,,"34.0524, -118.2633",1,34.0524, -118.2633
20556,2015-10-25,150220020,10/25/2015 12:00:00 AM,400,2,Rampart,249,122,"RAPE, ATTEMPTED",IC,Invest Cont,         COLUMBIA,   6TH                          ST,"34.0558, -118.2663",1,34.0558, -118.2663
20563,2015-10-25,150220030,10/25/2015 12:00:00 AM,100,2,Rampart,239,121,"RAPE, FORCIBLE",IC,Invest Cont,         1ST,   BIXEL,"34.0606, -118.2568",1,34.0606, -118.2568
20861,2015-10-26,151118900,10/25/2015 12:00:00 AM,400,11,Northeast,1186,121,"RAPE, FORCIBLE",AO,Adult Other,         ELYSIAN PARK,   UNKNOWN,"0.0000, 0.0000",1,0.0000, 0.0000
20900,2015-10-25,151224277,10/25/2015 12:00:00 AM,130,12,77th Street,1283,122,"RAPE, ATTEMPTED",JA,Juv Arrest, 1800 W  94TH                         ST,,"33.9511, -118.3090",1,33.9511, -118.3090
21049,2015-11-24,151522300,10/25/2015 12:00:00 AM,1415,15,N Hollywood,1566,121,"RAPE, FORCIBLE",IC,Invest Cont,10900    WHIPPLE                      ST,,"34.1481, -118.3673",1,34.1481, -118.3673
21081,2015-10-26,151615277,10/25/2015 12:00:00 AM,230,16,Foothill,1668,121,"RAPE, FORCIBLE",IC,Invest Cont, 7600    DAY                          ST,,"34.2545, -118.2979",1,34.2545, -118.2979
21159,2015-10-26,151920560,10/25/2015 12:00:00 AM,320,19,Mission,1981,122,"RAPE, ATTEMPTED",IC,Invest Cont, 8800    LANGDON                      AV,,"34.2301, -118.4698",1,34.2301, -118.4698
21184,2015-10-25,152018135,10/25/2015 12:00:00 AM,300,20,Olympic,2024,121,"RAPE, FORCIBLE",IC,Invest Cont,  500 S  OXFORD                       AV,,"34.0654, -118.3079",1,34.0654, -118.3079
21375,2015-11-06,150416692,10/24/2015 12:00:00 AM,100,4,Hollenbeck,439,121,"RAPE, FORCIBLE",AA,Adult Arrest, 1900 N  MARIANNA                     AV,,"34.0638, -118.1785",1,34.0638, -118.1785
21581,2015-10-24,151224194,10/24/2015 12:00:00 AM,700,12,77th Street,1266,121,"RAPE, FORCIBLE",IC,Invest Cont,  900 W  81ST                         ST,,"33.9655, -118.2893",1,33.9655, -118.2893
21947,2015-10-26,150123843,10/23/2015 12:00:00 AM,1230,1,Central,147,121,"RAPE, FORCIBLE",IC,Invest Cont,         6TH,   CROCKER,"34.0412, -118.2436",1,34.0412, -118.2436
22938,2015-10-24,150918735,10/22/2015 12:00:00 AM,1610,9,Van Nuys,916,121,"RAPE, FORCIBLE",AO,Adult Other, 6900    WOODMAN                      AV,,"34.1958, -118.4312",1,34.1958, -118.4312
22940,2015-10-31,150919076,10/22/2015 12:00:00 AM,1400,9,Van Nuys,989,121,"RAPE, FORCIBLE",IC,Invest Cont, 4400    WOODMAN                      AV,,"34.1504, -118.4312",1,34.1504, -118.4312
23351,2015-10-24,150124417,10/21/2015 12:00:00 AM,100,1,Central,153,121,"RAPE, FORCIBLE",IC,Invest Cont,  500 S  SPRING                       ST,,"34.0474, -118.2496",1,34.0474, -118.2496
23787,2015-10-23,151520408,10/21/2015 12:00:00 AM,2200,15,N Hollywood,1503,121,"RAPE, FORCIBLE",IC,Invest Cont,12300    SHERMAN                      WY,,"34.2010, -118.3998",1,34.2010, -118.3998
24220,2015-10-26,150716388,10/20/2015 12:00:00 AM,2300,7,Wilshire,778,121,"RAPE, FORCIBLE",IC,Invest Cont, 4000 W  WASHINGTON                   BL,,"34.0399, -118.3271",1,34.0399, -118.3271
24634,2015-10-21,151920319,10/20/2015 12:00:00 AM,2130,19,Mission,1987,122,"RAPE, ATTEMPTED",IC,Invest Cont,         MAMMOTH,   ROSCOE,"34.2217, -118.4341",1,34.2217, -118.4341
25347,2015-10-19,152017831,10/19/2015 12:00:00 AM,50,20,Olympic,2002,121,"RAPE, FORCIBLE",IC,Invest Cont,         ROSEWOOD                     AV,   MANHATTAN                    PL,"0.0000, 0.0000",1,0.0000, 0.0000
25402,2015-10-22,152117556,10/19/2015 12:00:00 AM,610,21,Topanga,2115,121,"RAPE, FORCIBLE",IC,Invest Cont,21800    LANARK                       ST,,"34.2176, -118.6031",1,34.2176, -118.6031
25616,2015-10-18,150801456,10/18/2015 12:00:00 AM,500,8,West LA,836,121,"RAPE, FORCIBLE",IC,Invest Cont, 1900    PELHAM                       AV,,"34.0509, -118.4310",1,34.0509, -118.4310
25767,2015-10-19,151223868,10/18/2015 12:00:00 AM,345,12,77th Street,1268,121,"RAPE, FORCIBLE",AO,Adult Other,         MAIN                         ST,   84TH                         ST,"33.9633, -118.2739",1,33.9633, -118.2739
25962,2015-10-27,151801328,10/18/2015 12:00:00 AM,2330,18,Southeast,1836,121,"RAPE, FORCIBLE",IC,Invest Cont, 1300 E  110TH                        ST,,"33.9358, -118.2520",1,33.9358, -118.2520
26095,2015-10-17,150123181,10/17/2015 12:00:00 AM,500,1,Central,162,121,"RAPE, FORCIBLE",IC,Invest Cont,  800 S  HOPE                         ST,,"34.0466, -118.2590",1,34.0466, -118.2590
26096,2015-10-17,150123182,10/17/2015 12:00:00 AM,500,1,Central,162,121,"RAPE, FORCIBLE",IC,Invest Cont,  800 S  HOPE                         ST,,"34.0466, -118.2590",1,34.0466, -118.2590
26137,2015-10-19,150219719,10/17/2015 12:00:00 AM,1500,2,Rampart,257,121,"RAPE, FORCIBLE",IC,Invest Cont,  600    LUCAS                        AV,,"34.0547, -118.2637",1,34.0547, -118.2637
26790,2015-10-19,151920758,10/17/2015 12:00:00 AM,200,19,Mission,1988,121,"RAPE, FORCIBLE",IC,Invest Cont,13500    RELIANCE                     ST,,"34.2268, -118.4268",1,34.2268, -118.4268
26791,2015-10-19,151920759,10/17/2015 12:00:00 AM,200,19,Mission,1988,121,"RAPE, FORCIBLE",IC,Invest Cont,13500    RELIANCE                     ST,,"34.2268, -118.4268",1,34.2268, -118.4268
27445,2015-10-17,151601288,10/16/2015 12:00:00 AM,1800,16,Foothill,1675,121,"RAPE, FORCIBLE",AA,Adult Arrest, 9000    GLENOAKS                     BL,,"34.2326, -118.3692",1,34.2326, -118.3692
27854,2015-10-16,150601166,10/15/2015 12:00:00 AM,2300,6,Hollywood,667,121,"RAPE, FORCIBLE",AA,Adult Arrest, 1400 N  GORDON                       ST,,"34.0963, -118.3201",1,34.0963, -118.3201
28043,2015-11-28,151018033,10/15/2015 12:00:00 AM,1,10,West Valley,1025,121,"RAPE, FORCIBLE",IC,Invest Cont, 7000    LINDLEY                      AV,,"34.1975, -118.5273",1,34.1975, -118.5273
