,date,DR. NO,DATE OCC,TIME OCC,AREA,AREA NAME,RD,Crm Cd,crime_desc,Status,Status Desc,LOCATION,Cross Street,lonlat,rape,lon,lat
71266,2015-08-16,150513924,08/16/2015 12:00:00 AM,1,5,Harbor,519,121,"RAPE, FORCIBLE",AO,Adult Other,         WAINWRIGHT,   GRANT                        ST,"0.0000, 0.0000",1,0.0000, 0.0000
71312,2015-08-21,150618696,08/16/2015 12:00:00 AM,1730,6,Hollywood,628,121,"RAPE, FORCIBLE",IC,Invest Cont, 1900 N  BEACHWOOD                    DR,,"34.1053, -118.3213",1,34.1053, -118.3213
71431,2015-10-03,151015629,08/16/2015 12:00:00 AM,730,10,West Valley,1088,121,"RAPE, FORCIBLE",IC,Invest Cont, 4300    HAYVENHURST                  AV,,"34.1494, -118.4950",1,34.1494, -118.4950
71482,2015-08-16,151219457,08/16/2015 12:00:00 AM,430,12,77th Street,1239,121,"RAPE, FORCIBLE",IC,Invest Cont,         58TH                         ST,   FIGUEROA,"33.9897, -118.2827",1,33.9897, -118.2827
71664,2015-08-16,151700823,08/16/2015 12:00:00 AM,1621,17,Devonshire,1791,121,"RAPE, FORCIBLE",AA,Adult Arrest,20400    HACKNEY                      ST,,"34.2224, -118.5787",1,34.2224, -118.5787
72034,2015-08-18,150619113,08/15/2015 12:00:00 AM,400,6,Hollywood,676,121,"RAPE, FORCIBLE",IC,Invest Cont,  800    EL CENTRO                    AV,,"34.0853, -118.3244",1,34.0853, -118.3244
72276,2015-08-15,151316401,08/15/2015 12:00:00 AM,430,13,Newton,1361,121,"RAPE, FORCIBLE",AA,Adult Arrest,  300 W  48TH                         ST,,"33.9992, -118.2783",1,33.9992, -118.2783
72376,2015-08-17,151516714,08/15/2015 12:00:00 AM,200,15,N Hollywood,1547,121,"RAPE, FORCIBLE",IC,Invest Cont,11500    BURBANK                      BL,,"34.1722, -118.3822",1,34.1722, -118.3822
72434,2015-08-16,151801108,08/15/2015 12:00:00 AM,2330,18,Southeast,1801,121,"RAPE, FORCIBLE",IC,Invest Cont,         FIGUEROA                     ST,   MANCHESTER                   AV,"33.9601, -118.2827",1,33.9601, -118.2827
72691,2015-08-16,150318452,08/14/2015 12:00:00 AM,300,3,Southwest,362,121,"RAPE, FORCIBLE",IC,Invest Cont,         COLISEUM                     ST,   MARTIN LUTHER KING JR        BL,"34.0176, -118.3458",1,34.0176, -118.3458
72767,2015-08-16,150601009,08/14/2015 12:00:00 AM,1700,6,Hollywood,638,121,"RAPE, FORCIBLE",IC,Invest Cont,         WESTERN,   FRANKLIN,"34.1054, -118.3093",1,34.1054, -118.3093
72990,2015-08-17,151201013,08/14/2015 12:00:00 AM,1700,12,77th Street,1241,121,"RAPE, FORCIBLE",AA,Adult Arrest, 6400    10TH                         AV,,"33.9818, -118.3279",1,33.9818, -118.3279
73132,2015-08-16,151516593,08/14/2015 12:00:00 AM,1600,15,N Hollywood,1548,121,"RAPE, FORCIBLE",IC,Invest Cont, 5200    VINELAND                     AV,,"34.1649, -118.3704",1,34.1649, -118.3704
73290,2015-08-14,152100771,08/14/2015 12:00:00 AM,200,21,Topanga,2138,121,"RAPE, FORCIBLE",IC,Invest Cont,         OSO,   COHASSET,"34.2071, -118.5754",1,34.2071, -118.5754
